Course	Room	Teacher	Time	Students
704	CHSAUD	318	5	43 44 163 204 206 240 364 365 371 377 405 408 429 443 542 544 606 623 653 658 699 740 758 783 854 880 891 1023 1044 1046 1049 1058 1114 1127 1162 
180	UN111	48	6	17 592 704 722 
181	HLL112	18	4	53 106 203 269 282 311 394 555 730 1174 
734	ESTW309	112	1	172 329 
737	STOAUD	119	14	18 23 24 80 96 99 100 110 114 125 137 167 177 195 236 262 263 284 339 362 402 424 445 471 484 507 538 580 585 593 628 637 651 669 804 825 826 830 879 926 927 937 974 1011 1027 1070 1083 1091 1134 1152 1166 
651	STOAUD	296	7	18 23 24 55 72 80 96 99 110 114 119 125 137 152 167 177 193 195 205 222 230 259 260 262 263 284 298 299 309 339 343 370 374 388 392 393 402 404 424 445 471 484 489 490 507 509 530 538 555 580 583 597 613 628 637 642 651 669 677 689 710 721 746 804 821 825 826 830 871 877 879 884 887 921 932 937 974 1011 1027 1069 1091 1111 1123 1134 1152 1166 
188	STO18	39	4	189 281 292 319 474 505 528 707 889 932 1085 
502	STO102	259	6	419 425 803 1040 
197	STO10	11	6	289 812 1019 
500	SHA412	137	6	71 148 248 332 340 355 367 410 506 551 645 664 672 697 709 893 998 1000 1054 1059 1140 1160 
341	SHA412	257	5	25 34 158 288 466 471 481 503 588 651 713 743 747 775 834 957 1021 1080 1094 1118 1156 1170 
610	SHAAUD	179	2	77 533 620 763 983 
631	HLL6	225	13	115 147 159 196 208 261 283 395 439 477 518 519 589 664 668 692 697 698 742 836 883 977 985 1005 1033 1045 1174 
632	SHA410	134	12	5 19 34 38 39 68 110 116 139 162 165 174 210 229 318 342 364 368 386 403 413 453 455 461 467 481 500 520 585 613 669 678 679 738 740 750 776 820 836 939 957 992 1025 1026 1028 1031 1039 1057 1058 1064 1092 1120 1139 
310	SHA410	199	1	159 
184	STO119	76	3	54 181 185 363 453 659 872 884 966 975 1116 1150 1184 
560	STO301	54	4	93 327 459 994 1135 
466	STO119	266	12	94 254 340 341 370 447 448 486 503 527 614 630 726 919 934 950 1016 
460	OBS	71	5	49 221 233 263 310 342 534 636 657 676 684 686 725 823 939 965 1070 1128 1153 1183 
462	HLS11	238	3	271 295 367 390 446 557 849 855 922 1052 1149 
98	HLL6	4	8	4 19 22 49 122 124 133 179 209 222 254 403 409 469 485 603 626 817 830 855 910 935 987 1013 1074 1093 1134 
228	STO14	237	3	253 349 392 627 639 983 
91	CHS104	43	10	20 28 55 119 190 211 260 285 383 432 490 509 535 570 637 816 825 887 917 921 942 1008 1035 1091 
165	SHAAUD	105	1	135 
93	STO207	248	4	418 422 533 666 773 800 909 997 1068 
224	CHS104	18	3	98 165 182 213 232 235 366 372 430 502 504 598 663 1088 
160	OBS	2	8	48 123 211 487 954 976 997 
222	SHA410	195	2	29 1179 
163	STO14	82	10	88 120 125 140 219 284 349 350 367 506 654 676 708 873 958 976 1098 1172 
282	CHS104	122	2	13 92 111 193 301 433 489 490 703 714 731 737 847 881 928 973 1031 1131 1136 
15	SHA410	22	15	6 11 16 19 26 44 80 81 85 88 96 111 175 182 278 413 454 457 479 499 538 568 574 584 598 638 652 653 716 730 750 752 765 766 767 823 891 977 990 1017 1023 1025 1037 1080 1092 1116 1161 1165 1170 
17	UN111	108	8	407 681 1096 
19	STO207	160	6	130 235 245 260 444 487 511 519 747 828 954 966 1013 1027 1046 
110	HLL6	62	2	64 
720	SHA412	95	8	29 64 171 202 223 311 379 417 549 623 627 748 775 789 822 940 951 1050 1099 1148 
659	SHA412	180	9	7 8 65 69 127 130 133 147 182 212 224 389 503 536 558 625 644 686 722 827 839 936 
740	SHA217	159	2	45 159 164 250 305 463 531 636 837 1110 1123 1172 
741	STO102	196	8	241 309 719 749 800 964 1018 
606	HLS11	180	4	160 345 667 763 817 852 873 963 1014 1038 
276	HLL6	186	6	947 
603	STO18	85	7	16 237 315 367 438 544 655 859 860 941 982 1094 
747	HLL7	166	2	37 112 272 330 369 436 501 576 688 771 781 993 
158	HLL6	71	3	265 570 843 880 
557	STO18	187	10	132 437 822 936 986 
553	STO18	85	9	103 118 200 269 281 448 732 739 780 802 867 1003 
238	STO16	232	4	79 107 217 275 350 517 549 665 791 878 964 1049 
239	OBS	133	9	104 108 234 274 295 374 391 410 497 510 516 589 615 666 753 779 781 812 911 922 1081 
235	GST103	195	5	69 79 348 435 494 744 1036 1047 
236	HLL106	74	10	109 130 268 309 468 492 613 658 766 774 783 833 905 951 1104 
679	SHA217	282	3	237 915 
79	CHS104	14	4	196 461 463 900 952 
45	CHS104	179	5	50 63 143 195 208 259 388 399 472 496 556 570 589 614 619 696 718 768 923 958 968 983 1071 1111 1145 1164 
323	HLL106	44	17	2 15 85 91 144 414 438 487 602 745 776 823 898 1058 
321	STO16	276	10	39 104 114 189 346 477 486 528 559 673 703 722 739 770 798 806 807 813 970 1017 1032 1099 1111 1173 1174 1182 
5	HLS105	251	3	61 
327	STO301	98	9	291 539 641 751 769 799 860 888 967 982 1102 
324	STOAUD	189	2	135 221 976 
325	HLL7	48	3	166 380 486 591 807 836 
9	HLS105	281	5	150 161 446 451 996 1019 1053 1082 
476	STO18	254	8	3 116 191 312 387 762 782 801 872 1132 1150 1156 
328	ESTW309	212	6	33 57 58 83 85 105 120 142 149 171 264 267 303 350 365 366 373 384 477 526 630 674 730 733 756 789 870 897 910 911 916 971 1029 1041 1087 1158 
352	CHSAUD	182	3	112 266 290 333 485 743 856 955 986 1071 
147	STO207	73	9	178 435 462 525 634 646 663 1068 
618	STO16	4	11	10 11 18 36 79 169 199 224 270 306 337 377 413 527 580 724 750 793 801 824 992 1024 1031 1064 1129 1136 
202	ESTW309	167	16	12 26 39 70 87 174 188 199 236 252 258 326 335 381 403 421 423 470 523 524 534 540 543 587 602 609 624 626 631 633 654 662 678 779 867 885 901 973 1061 1076 1092 1121 1129 1171 
204	CHS104	54	9	33 41 102 126 137 241 303 321 379 383 384 401 565 580 593 701 712 858 864 909 997 1107 1145 
140	ESTW309	311	3	563 751 
209	HLL6	230	10	2 10 139 165 192 209 213 290 398 438 542 591 594 602 635 767 792 915 954 1002 1026 1049 1076 1088 1113 1136 1164 
613	HLL107	202	4	402 643 792 943 
